neuron_id	neuron_name	archive	note
108701	modified_3826_1_1035_2_split_26	Dong	Processed with G-Cut
108761	recon_1_split_13	Dong	Processed with G-Cut
108739	recon_2_split_21	Dong	Processed with G-Cut
108762	recon_1_split_8	Dong	Processed with G-Cut
108665	3817_CPi_PHAL_Z001_app2_split_70	Dong	Processed with G-Cut
108702	modified_3826_1_1035_2_split_19	Dong	Processed with G-Cut
108666	3817_CPi_PHAL_Z001_app2_split_12	Dong	Processed with G-Cut
108667	3817_CPi_PHAL_Z001_app2_split_34	Dong	Processed with G-Cut
108659	recon_1_split_12	Dong	Processed with G-Cut
108668	3817_CPi_PHAL_Z001_app2_split_69	Dong	Processed with G-Cut
108703	modified_3826_1_1035_2_split_10	Dong	Processed with G-Cut
108704	modified_3826_1_1035_2_split_3	Dong	Processed with G-Cut
108763	recon_2_split_7	Dong	Processed with G-Cut
108705	modified_3826_1_1035_4_split_1	Dong	Processed with G-Cut
108669	3817_CPi_PHAL_Z001_app2_split_35	Dong	Processed with G-Cut
108706	modified_3826_1_1035_5_split_3	Dong	Processed with G-Cut
108741	recon_2_split_16	Dong	Processed with G-Cut
108701	modified_3826_1_1035_2_split_26	Dong	Processed with G-Cut
108670	3817_CPi_PHAL_Z001_app2_split_68	Dong	Processed with G-Cut
108764	recon_2_split_6	Dong	Processed with G-Cut
108659	recon_1_split_12	Dong	Processed with G-Cut
108708	modified_3826_1_1035_2_split_27	Dong	Processed with G-Cut
108742	recon_2_split_20	Dong	Processed with G-Cut
108709	modified_3826_1_1035_2_split_18	Dong	Processed with G-Cut
108671	3817_CPi_PHAL_Z001_app2_split_61	Dong	Processed with G-Cut
108672	3817_CPi_PHAL_Z001_app2_split_71	Dong	Processed with G-Cut
108765	recon_1_split_9	Dong	Processed with G-Cut
108710	modified_3826_1_1035_1_merge	Dong	Processed with G-Cut
108711	modified_3826_1_1035_5_split_1	Dong	Processed with G-Cut
108712	modified_3826_1_1035_4_split_3	Dong	Processed with G-Cut
108673	3817_CPi_PHAL_Z001_app2_split_27	Dong	Processed with G-Cut
108766	recon_2_split_4	Dong	Processed with G-Cut
108713	modified_3826_1_1035_2_split_13	Dong	Processed with G-Cut
108743	recon_1_split_2	Dong	Processed with G-Cut
108744	recon_2_split_14	Dong	Processed with G-Cut
108744	recon_2_split_14	Dong	Processed with G-Cut
108767	recon_14	Dong	Processed with G-Cut
108660	recon_1_split_10	Dong	Processed with G-Cut
108745	recon_5	Dong	Processed with G-Cut
108674	3817_CPi_PHAL_Z001_app2_split_73	Dong	Processed with G-Cut
108714	modified_3826_1_1035_2_split_9	Dong	Processed with G-Cut
108746	recon_4	Dong	Processed with G-Cut
108715	modified_3826_1_1035_2_split_24	Dong	Processed with G-Cut
108768	recon_1_split_11	Dong	Processed with G-Cut
108675	3817_CPi_PHAL_Z001_app2_split_62	Dong	Processed with G-Cut
108676	3817_CPi_PHAL_Z001_app2_split_72	Dong	Processed with G-Cut
