neuron_id	neuron_name	archive	note
101678	Apr13IR3b	Luebke	
101650	Apr13IR2b	Luebke	
101650	Apr13IR2b	Luebke	
101677	Apr13IR2c	Luebke	
101677	Apr13IR2c	Luebke	
139467	WT-D1-Jun19IR2a-whole-cell	Luebke	D1 (eGFP-) MSNs in the dorsolateral striatum were provisionally identified at the time of recordings by visualizing MSN somata under infrared-differential interference contrast (IR-DIC) optics then switching to epifluorescence optics to determine if the somata showed GFP signal.
105057	80_01	Almuhtasib	
105086	7_39	Almuhtasib	
105050	78_02	Almuhtasib	
105040	10_44	Almuhtasib	
105014	23_15	Almuhtasib	
105012	16_29	Almuhtasib	
105048	30_8	Almuhtasib	
105017	19_22	Almuhtasib	
105046	33_8	Almuhtasib	
105041	11_44	Almuhtasib	
105022	50_2	Almuhtasib	
105066	29_10	Almuhtasib	
105051	79_01	Almuhtasib	
105016	21_19	Almuhtasib	
105044	9_39	Almuhtasib	
105018	18_23	Almuhtasib	
275384	Petroccione_et_al_2023_KO	Scimemi	
275384	Petroccione_et_al_2023_KO	Scimemi	
